path	status	lines	bytes	words	est_tokens	ceiling	zone
CONSTITUTION.md	law	106	8810	1297	2203	-	law
Projects/notrick/AGENTS.md	protected	74	5018	806	1255	-	protected
Projects/notrick/RULES.md	protected	82	5255	838	1314	-	protected
Projects/notrick/INTEGRITY.md	protected	107	8903	773	2226	-	protected
Projects/notrick/ONBOARDING.md	protected	55	3787	602	947	-	protected
Projects/notrick/FOUNDATIONAL-BRIEF.md	protected	54	3884	581	971	-	protected
Projects/notrick/CONTEXT.md	protected	706	78814	10512	19704	-	protected
Projects/notrick/README.md	cite-sensitive	64	5683	861	1421	-	cite-sensitive
Projects/colony-kernel/AGENTS.md	ok	77	4494	635	1124	810	edit
Projects/colony-kernel/README.md	ok	79	4922	558	1231	630	edit
Projects/colony-kernel/GOVERNANCE.md	law	62	2363	363	591	-	law
Projects/deepseek-harness/AGENTS.md	project-gated	155	16565	1949	4142	-	project-gated
Projects/deepseek-harness/README.md	project-gated	63	2201	238	551	-	project-gated
Projects/deepseek-harness/docs/AGENTS.md	project-gated	75	10535	1317	2634	-	project-gated
Projects/deepseek-harness/packages/AGENTS.md	project-gated	28	6166	717	1542	-	project-gated
Projects/deepseek-harness/packages/README.md	project-gated	114	7926	911	1982	-	project-gated
Projects/dyno-pony/AGENT-ERGONOMICS.md	ok	91	8235	1277	2059	1580	edit
Projects/dyno-pony/README.md	ok	114	6343	794	1586	970	edit
Projects/dyno-pony/PROTECTED.md	declaration	53	4136	586	1034	-	declaration
Projects/knowledge-factory/README.md	ok	16	1324	160	331	170	edit
Projects/knowledge-factory/design.md	OVER	442	47181	6369	11796	5080	edit
Projects/knowledge-factory/PROTECTED.md	declaration	20	1596	228	399	-	declaration
crew-research-council/README.md	ok	32	2230	344	558	370	edit
crew-research-council/PROTECTED.md	declaration	43	2545	423	637	-	declaration
anatomy-lab/README.md	ok	24	2041	180	511	210	edit
anatomy-lab/PROTECTED.md	declaration	33	2176	322	544	-	declaration
